participant_id	CMAT_Addition_Raw	CMAT_Addition_StS	CMAT_Subtraction_Raw	CMAT_Subtraction_StS	CMAT_Multiplication_Raw	CMAT_Multiplication_StS	CMAT_Division_Raw	CMAT_Division_StS	CMAT_BasicCalc_Comp_Quotient
sub-085	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-086	15	6	15	7	13	7	8	5	75
sub-087	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-088	10	4	2	1	2	3	0	2	50
sub-089	13	5	10	5	3	3	5	6	65
sub-090	24	13	16	7	13	7	8	5	87
sub-091	n/a	n/a	20	10	15	8	11	6	n/a
sub-092	15	6	19	12	14	9	14	11	97
sub-093	23	13	19	13	18	13	12	10	115
sub-094	18	8	16	7	6	4	5	2	68
sub-095	17	7	16	8	5	4	4	5	73
sub-096	23	13	9	5	13	9	8	7	90
sub-097	20	10	17	10	12	8	12	9	95
sub-098	15	7	12	8	11	9	4	5	82
sub-099	19	9	13	7	5	4	6	6	77
sub-100	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-103	10	4	15	9	17	12	7	7	87
sub-104	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-106	18	8	15	7	10	6	7	5	77
sub-107	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-108	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-110	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-112	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-113	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-114	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-115	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-116	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-117	23	12	19	9	16	9	10	6	93
sub-118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-119	23	12	20	11	17	10	17	12	108
sub-120	18	8	16	8	14	8	17	11	92
sub-121	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-122	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-123	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-124	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-126	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-127	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-128	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-129	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-130	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-131	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-132	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
